smiles,minimizedAffinity
C[CH]c1ccccc1C(F)(F)F.C[N].[CH2].[CH2].[CH2].[CH2].[CH2]Oc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1.[CH],-11.0860338
N[S@SP](=O)(=O)c1cccc(Nc2cc(-c3ccc(F)cc3)n[nH]2)c1,-8.86379051
[CH2].[CH2].[CH2].[CH2][N][CH2].[CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2c1.[C].[O].[S],-6.59056473
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[C]/C=C\[C]([O])c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(C(F)(F)F)c3)c2c1.[NH],-7.93685389
[CH2].[CH2].[CH2].[CH2]C.[CH2][N].[CH].[O][C]Nc1n[nH]c2nnc(-c3cccc(F)c3F)cc12,-10.3317232
O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,-9.47858429
N[S@SP](=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1,-8.77748108
COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC,-7.75508928
COC(=O)Nc1nc2ccc(Sc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,-5.26464558
C#Cc1cccc(N[C]2N=C[N]c3ccc(OCCCCNCC[S@SP](C)(=O)=O)cc32)c1,-11.2507124
NC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccncc2)c1N,-9.10634136
Nc1nccc(-c2c(-c3ccc(F)cc3)nn3cc(C(F)(F)F)ccc23)n1,-9.34444618
COC(=O)Nc1nc2cc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c3)ccc2[nH]1,-10.1904039
CN(C)c1ccc(C(=O)Nc2cccc(OC3=N[CH]C([N][C]c4nonc4N)=[C][CH]3)c2)cc1.[CH2]C.[N],-9.14120293
[CH2].[CH2].[CH2].[CH2][O].[N]CCOc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,-9.25813961
Cc1nn(C)c2cc(N(C)c3ccnc(Nc4cccc([S@SP](N)(=O)=O)c4)n3)ccc12,-8.62790298
[CH2].[CH2]C.[CH2][N]CC[S@SP](C)(=O)=O.[C][CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,-9.91389751
COC(=O)Nc1nc2ccc([S@SP](=O)(=O)c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,149.830841
[CH2].[CH2].[CH2].[CH2]c1[c]sc(NC(=O)c2ccccc2F)c1[C][N],-7.99685574
Nc1nonc1[C][N]c1[c]ccnc1.[CH2].[CH2].[CH2]N(C)C.[N],-8.83943748
COc1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2cccc(F)c2)c1,-8.07478714
[CH2].[CH2]Oc1cc(Nc2nccc(-c3c(-c4ccc(F)cc4)nn4ncccc34)n2)ccc1[O],-9.93380165
C[CH]C.[c]1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,-9.73896217
[N][C]c1cccc(Nc2ncc(-c3ccccc3)o2)c1,-8.01342964
Brc1cc(Nc2ncnc3ccc(-c4cc[c]o4)cc23)ccc1OCc1ccccc1.[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O,-9.34222698
COc1cccc(-c2c[nH]c3c2[N]C=N[C]3N/N=C/c2ccncc2)c1,-7.88163948
[N][C]c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,-8.5506916
C[CH]C.[c]1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,-9.63139915
c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,-7.4376626
C[CH]C.[C]/C=C1/NC(=O)C(=N/Nc2ccc([S@SP](N)(=O)=O)cc2)/C1=C/[CH],-9.19225025
COC(=O)c1ccc2c(c1)/C(=C/c1cc(Br)c(O)c(Br)c1)C(=O)N2,-7.62284422
COc1ccc(-c2ccc3c(N[C][O])n[nH]c3n2)cc1.[CH2].[CH3].[C],-8.95731449
COc1cccc(-c2cnc(Nc3cc([S@SP]([O])=O)ccc3OC)o2)c1.[CH2]C,-9.37151527
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,-10.1559639
NC(=O)c1ccc2c(-c3ccnc(NCCCO)n3)c(-c3ccc(F)cc3)nn2c1,-10.4120388
[CH2].[CH2].[CH2].[CH2][N]CCCn1cnc(-c2ccc(F)cc2)c1-c1ccnc(N)n1.[O],-10.7389469
[CH2]c1ccccc1.[O]c1ccc(N[C]2N=C[N]c3ccc(-c4ccco4)cc32)cc1,-9.41571426
[CH2].[CH2].[CH2][N]C.[CH2][N][CH2].[CH]/C=C(\[O])c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[C],-10.217186
[CH2]Oc1[c]ccc(-c2[nH]c(-c3ccc(C(N)=O)cc3)nc2-c2ccccn2)c1.[O],-8.98625851
Cc1cc(Cl)cc2c1NC(=O)/C2=N\Nc1ccc([S@SP](N)(=O)=O)cc1,-7.98878479
O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(O)c1,-8.73342705
Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,-8.0111208
COc1c[c]ccc1NC1=N[C](Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2[N]1.C[CH]C.[CH2].[CH2].[CH2][N].[CH2][N],-8.49809265
COc1cc2ncn(-c3cc(OCc4ccccc4[S@SP](C)(=O)=O)c([C][N])s3)c2cc1OC,-8.30430126
Fc1cccc(COc2ccc(N[C]3N=C[N]c4sc(-c5c[c]sc5)cc43)cc2Cl)c1.[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O,-11.156024
[CH2][CH]c1ccc(Cl)c(Cl)c1.[C].[C]N[C]C.[O].[O][C]Nc1ccc2[nH]ncc2c1,-10.0191469
[CH2].[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]C(=O)Nc1s[c]c([CH2])c1[C][N].[CH2][O].[N],-8.03283691
NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1,-8.47560406
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4c[c]ccc4)cc3)cc2[nH]1.[CH2]C,-7.18053579
COc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1OC,-8.91240883
Fc1ccc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)n2)cc1F,-9.07415295
C[CH]c1ccccc1Cl.[CH2].[CH2].[CH2].[CH2][N]C.[CH]Oc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1,-11.116086
[CH2].[CH2]C.[NH].[c]1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2ccncc2)c1,-8.51938152
c1ccc(-c2n[nH]cc2-c2ccnc(-c3ccc(OCCn4ccnc4)cc3)c2)nc1,-9.44349003
Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c12,-9.47385597
